"","seedmass","longevity","germination_rate","temperature","seedbank_duration"
"Achillea_millefolium",0.169747724826688,5.65,100,18.2857142857143,12.195652173913
"Agrostis_gigantea",0.0814492967989077,1.8125,100,20.5,6.28571428571429
"Anagallis_arvensis",0.471103333333333,27.6071428571429,90.5,16.5,14.7368421052632
"Anchusa_arvensis",4.980995,1.125,100,17.5,12
"Apera_spica-venti",0.1115,4.41666666666667,100,14.2857142857143,12.8
"Aphanes_australis",0.31925,11.5489780844156,90,10.6666666666667,12
"Arabidopsis_thaliana",0.03047875,6.9375,77.5909090909091,17,11.6785714285714
"Arenaria_leptoclados",0.0530088888888889,2.75,97.6742090909091,17.2692619047619,12
"Arenaria_serpyllifolia",0.0694958064516129,8.95833333333333,96.07,16.25,15.2647058823529
"Arrhenatherum_elatius",2.75577223702569,0.82,95.25,17.5,11.7954545454545
"Artemisia_vulgaris",0.143418181818182,2.17142857142857,100,25.25,12.75
"Bromus_hordeaceus",2.31917067168271,3.875,100,19.3317857142857,13.4375
"Bromus_sterilis",7.761192,0.18,100,21,13.5555555555556
"Capsella_bursa-pastoris",0.142266721311475,9.74074074074074,95.5,15.1666666666667,17.7058823529412
"Castanea_sativa",5730.77249656,13.6730187288202,88.3765476190476,17.3112380952381,7.5
"Cerastium_fontanum",0.144641549862108,7.875,100,17.5,8.76923076923077
"Cerastium_glomeratum",0.048962596969697,2.3,98,17.0949285714286,13.375
"Chenopodium_album",0.688880135051546,51.6973684210526,97.75,16,16.4347826086957
"Cirsium_arvense",1.33837142857143,7.02380952380952,100,20,11.2045454545455
"Convolvulus_arvensis",12.6446490196078,10.9785714285714,100,25,11.9285714285714
"Crepis_capillaris",0.223516172839506,2.3,97.5,23,10.9166666666667
"Dactylis_glomerata",0.822716176389615,1.68,81,20.5,11.7954545454545
"Elymus_repens",2.82767351471205,3.72380952380952,96.6666666666667,21.1666666666667,11.3235294117647
"Epilobium_ciliatum",0.0702621,0.55,79.1666666666667,22,8.36666666666667
"Epilobium_montanum",0.117752380952381,24.5,90,19,8.05
"Erigeron_canadensis",0.0694097317690361,4.6,100,20.6,10.95
"Erodium_cicutarium",1.91663352068966,2.3,100,17.3333333333333,14.4285714285714
"Euphorbia_helioscopia",2.28974166666667,11.375,88,20,9.22222222222222
"Fallopia_convolvulus",5.502,9.16666666666667,87.8489,15.5,20.1538461538462
"Festuca_rubra",1.01517472852289,1.3125,100,20.5,11.5833333333333
"Galinsoga_parviflora",0.242471428571429,5.21428571428571,100,22,1.5
"Geranium_molle",1.12954068965517,1.4,100,19.2269047619047,10.5
"Heracleum_sphondylium",7.44046585923802,2.54166666666667,91,19.3966428571429,9.54166666666667
"Holcus_lanatus",0.346675351054476,4.29166666666667,96,16.1666666666667,11.0714285714286
"Holcus_mollis",0.339,0.25,86,18.8710476190476,10.8076923076923
"Hypericum_perforatum",0.180274054054054,20.71875,96,24,10.78125
"Hypochaeris_radicata",0.801182106146644,1.5125,97,19,9.84375
"Jacobaea_vulgaris",0.224284074074074,3.00909090909091,100,18,10.9545454545455
"Lactuca_serriola",0.520355242372881,2.85,92.5,15,12.3333333333333
"Lamium_amplexicaule",0.569181861290323,11.5555555555556,100,15.1666666666667,19.9
"Lapsana_communis",0.994311111111111,3.05555555555556,98,16.6666666666667,14.8333333333333
"Lolium_perenne",1.94999415105429,3.60714285714286,71.4,19.5,11.75
"Matricaria_chamomilla",0.0842391742054958,7.31818181818182,100,19.3333333333333,18.1666666666667
"Medicago_lupulina",1.54954049400927,16.1666666666667,96.5,20.5,11.9444444444444
"Myosotis_arvensis",0.411065625,4.21428571428571,100,16.1666666666667,12.0769230769231
"Panicum_miliaceum",4.71861355534895,10,95.104880952381,19.3483095238095,11.9762563817444
"Papaver_dubium",0.126828452329153,7.6875,94,8.5,19.375
"Papaver_rhoeas",0.153250175438597,11.075,81.5714285714286,14.25,19.2857142857143
"Persicaria_lapathifolia",2.3395215250641,5.72222222222222,32.5,24.8571428571429,11.625
"Persicaria_maculosa",2.06308489243891,16.0769230769231,94,31.25,21.0714285714286
"Phleum_bertolonii",0.2889,3.33687229437229,100,18.0876190476191,11.3128356009932
"Plantago_lanceolata",1.45445166225735,6.59615384615385,100,21.6666666666667,11.5227272727273
"Polygonum_aviculare",1.5719326925,41.8035714285714,87.6666666666667,19,13.5
"Prunus_spinosa",133.5,11.7392795798972,87.548170995671,15.8390714285715,11.3983729859322
"Quercus_robur",2918.4641309329,12.8714299009814,88.909880952381,17.1635714285715,11
"Ranunculus_repens",2.59847518839244,28.3382352941176,6,17.9380476190476,14.2826086956522
"Raphanus_raphanistrum",22.336,8.31818181818182,94.6666666666667,21.75,18.7272727272727
"Rumex_acetosa",0.781270149253731,3.72142857142857,95,15,11.325
"Rumex_acetosella",0.644061641791045,10.9583333333333,86,20.3333333333333,17.0555555555556
"Rumex_crispus",1.76658144578313,18.12,95.5,19,16.9375
"Rumex_obtusifolius",1.46599512195122,13.1944444444444,98,20.6,11.09375
"Sisymbrium_officinale",0.289971428571429,2.3,98.3333333333333,20,9.75
"Sonchus_asper",0.288033866487799,5.01666666666667,95,17,15.5625
"Sonchus_oleraceus",0.307519090909091,9.31333333333333,100,20.5,11.58125
"Spergula_arvensis",0.427254545454545,176.075,94,19.1428571428571,17.5833333333333
"Stellaria_graminea",0.278509090909091,0.5,100,18.2589047619048,10.0882352941176
"Trifolium_dubium",0.399922872340426,7.9375,100,19.3674523809524,12.625
"Trifolium_repens",0.634983752912006,35.647619047619,87.4,21.2,12.1521739130435
"Tripleurospermum_inodorum",0.188752862981059,6.23214285714286,75,16.4,15.4642857142857
"Veronica_arvensis_",0.114992452830189,1.4,100,16.4285714285714,17.1
"Veronica_chamaedrys",0.221568794319149,0.5,94,20.3333333333333,12.125
"Veronica_persica",0.646054054054054,3.5,92.5,17,10.5
"Vicia_cracca",14.3660087855072,1.775,100,17.5,11.4411764705882
"Vicia_hirsuta",5.43359381538462,7.05555555555556,100,19.3333333333333,11.6
"Vicia_sativa",24.7734957583503,9.1875,100,17.5,12.775
"Vicia_tetrasperma",4.37879840933333,0.25,99,20,12.5555555555556
"Viola_arvensis",0.619962932481922,6.42307692307692,76.3333333333333,14.2,13.3636363636364
"Vulpia_bromoides",0.419033333333333,0.625,59.5,19.5,3.5
"Vulpia_myuros",0.541424069417162,0.25,97.5,22,8.25
